Top 2000 HathiTrust Open Titles, May 2014-May 2017


Title |  Uses | Publication Date
Trow's New York city directory. | 11014 views | 1854
The Magna charta sureties, 1215; the barons named in the Magna charta, 1215, and some of their descendants who settled in America, 1607-1650, | 11009 views | 1955
Biographical dictionary of American architects (deceased) | 11008 views | 1956
Executive journals of the Council of colonial Virginia. | 10997 views | 1773
Hill's Richmond city directory (Chesterfield and Henrico Counties, Va.). | 10996 views | 1855
Writings of Junípero Serra / | 10992 views | 9999
History of the 311th Infantry (78th Division). | 10987 views | 1919
An introduction to linear statistical models. | 10986 views | 9999
The settlement and story of Oakham, Massachusetts, | 10974 views | 1947
Theoretical nuclear physics / | 10971 views | 1952
History of Weymouth, Massachusetts. Published by the Weymouth historical society, Howard H. Joy, president. Under direction of the town. | 10959 views | 1923
Planetary size comparisons : a photographic study / | 10958 views | 1985
Staten Island and its people : a history, 1609-1929 / | 10948 views | 1933
The North American review | 10947 views | 1883
Richmond, William and Timothy Terrell : colonial Virginians / | 10945 views | 1934
Collier's. | 10942 views | 1903
County genealogies. Pedigrees of Surrey families. | 10940 views | 1837
Michigan state gazetteer and business directory for ... | 10940 views | 1888
The elements of nuclear reactor theory. By Samuel Glasstone and Milton C. Edlund. | 10937 views | 1952
Social saga of two cities; an ecological and statistical study of social trends in Minneapolis and St. Paul, | 10932 views | 1937
[Publications] | 10930 views | 9999
Harper's weekly. | 10925 views | 1897
The Broadway journal. | 10924 views | 1845
Congressional pictorial directory / | 10916 views | 1983
Genealogy of the Holloway families, | 10914 views | 1927
Aeronautical bulletin ... State series ... | 10908 views | 1926
Practical analytic geometry with applications to aircraft / | 10898 views | 1944
Concerning the Van Bunschoten or Van Benschoten family in America; a genealogy and brief history / | 10882 views | 1907
Harper's weekly. | 10872 views | 1897
An outline history of Orange county ... together with local traditions and short biographical sketches of early settlers, etc. / | 10868 views | 1847
2835 Mayfair : a novel / | 10866 views | 1907
Harper's weekly. | 10864 views | 1891
William Ballard; a genealogical record of his descendants in Monroe County. | 10860 views | 1957
Unit operations / | 10859 views | 1950
The rise of the merchant class in Tokugawa Japan, 1600-1868; an introductory survey. | 10853 views | 1958
Nicolas Martiau, the adventurous Huguenot, the military engineer, and the earliest American ancestor of George Washington, | 10849 views | 1932
Indians of the southeastern United States, | 10838 views | 1946
The fall of the planter class in the British Caribbean, | 10834 views | 1928
The Saturday evening post. | 10832 views | 1922
The Taylors of Tabernacle : the history of a family, including the genealogy of its descendants with biographical sketches and family journals with daily accounts of life in Haywood County, Tennessee, for over a century. | 10832 views | 1957
Patrologiæ cursus completus : seu, Bibliotheca universalis, integra, uniformis, commoda, oeconomica omnium SS. patrum, doctorum, scriptorumque ecclesiasticorum. Series græca. | 10822 views | 1866
Artistic trumpet; technique and study, | 10812 views | 1962
Lloyd's list. | 10811 views | 1786
Let's alter your pattern; workbook for teaching the theory of pattern alteration. | 10808 views | 1959
Human learning | 10806 views | 1931
A.C.S.R. graphic method for sag-tension calculations. | 10805 views | 1927
The making of the University of Michigan, 1817-1992 / | 10798 views | 1997
Schuylkill County, Pennsylvania; genealogy--family history--biography; containing historical sketches of old families and of representative and prominent citizens, past and present. | 10793 views | 1916
The chemical formulary; a condensed collection of valuable, timely, practical formulae for making thousands of products in all fields of industry. | 10789 views | 9999
Home needlework magazine ... | 10783 views | 1914
Baking science and technology, | 10774 views | 1952
The Saturday evening post. | 10774 views | 1918
A transcript of the registers of the company of stationers of London; 1554-1640, A. D. | 10764 views | 1894
A technique for producing ideas / | 10763 views | 1960
Scientific American | 10749 views | 1922
Design of weldments. | 10744 views | 1963
Gender in play on the Shakespearean stage : boy heroines and female pages / | 10737 views | 1996
Naive set theory. | 10734 views | 1960
Principles of control systems engineering | 10731 views | 1960
The Randolphs of Virginia, a compilation of the descendants of William Randolph of Turkey island, and his wife Mary Isham of Bermuda hundred, | 10724 views | 1936
The Cecil family of Maryland; a genealogy and history of some descendants of William Cecil, ca. 1665-1749, with some allied Ball families. | 10724 views | 1963
Earth pressures and retaining walls. | 10724 views | 1957
Letters of a Peruvian princess : translated from the French, with the sequel taken from a Spanish manuscript, embellished with superb engravings. | 10721 views | 1802
Rudder. | 10710 views | 1904
Place names in Bucks County, Pennsylvania : alphabetically arranged in an historical narrative / | 10710 views | 1955
Cadette Girl Scout handbook. | 10710 views | 1963
Lippincott's monthly magazine : a popular journal of general literature. | 10692 views | 1890
The history of philosophy, in eight parts. | 10680 views | 1656
Agricultural process engineering / | 10677 views | 1955
Dello sqvadro trattato | 10677 views | 1625
The interesting narrative of the life of Olaudah Equiano; or Gustavus Vassa, the African. / | 10675 views | 1815
A treatise on milling and milling machines. | 10675 views | 1951
Psychosurgery; intelligence, emotion and social behavior following prefrontal lobotomy for mental disorders, | 10674 views | 1942
Magyarország helynévtára; a különféle kormányzati ágak szerinti beosztás kimutatásával mint az 1863. év elején fennállott. | 10669 views | 1863
Making the most of books, | 10667 views | 1932
Uranium production technology / | 10653 views | 1959
Encyclopedia of American Quaker genealogy, | 10648 views | 9999
Organized crime in Chicago. | 10614 views | 1929
There is nothing but God. | 10611 views | 1934
History of the 317th Infantry. | 10611 views | 1919
Seattle city directory ... | 10605 views | 1889
Lennie Tristano : his life in music / | 10603 views | 2007
Engineering mathematics with tables, | 10595 views | 1940
Godey's magazine. | 10593 views | 1873
The American voter revisited / | 10588 views | 2008
Theory of flow and fracture of solids | 10586 views | 1963
Rangliste de königlich preussischen Armee. | 10569 views | 1871
Winged pharaoh, | 10563 views | 1938
History and genealogy of the Earles of Secaucus. With an account of other English and American branches. | 10560 views | 1925
Godey's magazine. | 10554 views | 1847
Godey's magazine. | 10550 views | 1841
Rudder. | 10548 views | 1921
History of the Seventh division, United States army, 1917-1919. Obtained from official sources. Approved by unit commanders. | 10543 views | 1927
Lloyd's list. | 10542 views | 1800
Institutional economics; its place in political economy, | 10541 views | 1934
Lloyd's list. | 10536 views | 1806
Hansford and kinsmen, 1642-1957; a family history. | 10534 views | 1958
The Dana family in America. | 10529 views | 1956
Genealogy of the Stukey, Ream, Grove, Clem, and Denniston families / | 10525 views | 1939
Bailey-Britton history and genealogy. | 10525 views | 1962
McClure's magazine. | 10516 views | 1905
Record of service of Michigan volunteers in the civil war, 1861-1865. | 10516 views | 1909
The Carr book; sketches of the lives of many of the descendants of Robert and Caleb Carr, whose arrival on this continent in 1635 began the American story of our family; | 10516 views | 1947
The Income tax act, 1918, and finance acts, years 1919 to 1931 inclusive, so far as they relate to income tax, super-tax and sur-tax, with Statutory regulations and orders, cross-references to former enactments, tables of rates and index. | 10510 views | 1931
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 10504 views | 9999
Vital records of Georgetown, Maine, to the year 1892; | 10502 views | 9999
Characters of the Inquisition, | 10492 views | 1940
Industrial instrumentation. | 10491 views | 1950
Godey's magazine. | 10489 views | 1858
Alfred Adler; a biography, | 10479 views | 1939
Principles of sociology. | 10477 views | 1953
A picture of Lycoming County; | 10471 views | 1939
Microwave ferrites and ferrimagnetics | 10448 views | 1962
Martin Cash : the bushranger of Van Diemen's Land in 1843. A personal narrative of his exploits in the bush and his experiences at Port Arthur and Norfolk Island. | 10444 views | 1870
Principles and problems of pattern making as applied to women's apparel, | 10436 views | 1940
54th Pioneer Infantry with the Army of Occupation, Third U. S. Army. | 10434 views | 1919
The official roster of Ohio soldiers, sailors and marines in the world war, 1917-18 ... | 10431 views | 1929
The William Fleming family (a genealogy) with a brief account of some other Flemings of Delaware / | 10429 views | 1941
A List of the Officers of the Army and of the Corps of Royal Marines | 10427 views | 1816
Electric machinery / | 10418 views | 1946
The god of war, | 10404 views | 1920
Report of the United States Education mission to Japan, | 10402 views | 1946
Introduction to arithmetic / | 10402 views | 1926
A genealogy of the Van Winkle family : account of its origin and settlement in this country with data, 1630-1913 : description of the village of "Winkel" Holland with illustrations / | 10395 views | 1996
Basic glider criteria handbook. | 10391 views | 1961
Vanity fair. | 10389 views | 1914
A century of Southern Pacific steam locomotives, 1862-1962. | 10384 views | 1963
L'illustration : journal universel. | 10374 views | 1854
Roots in Virginia; an account of Captain Thomas Hale, Virginia frontiersman, his descendants and related families.  With genealogies and sketches of Hale, Saunders, Lucke, Claiborne, Lacy, Tobin and contributing ancestral lines. | 10373 views | 1948
Genealogical record of the LeVan family : descendants of Daniel LeVan and Marie Beau (Huguenots), natives of Picardy, France, who settled in Amsterdam, Holland, 1650 to 1927 / | 10371 views | 1927
Joseph West and Jane Owen / | 10364 views | 1930
The defense of Duffer's Drift. | 10362 views | 1996
Pennsylvania German pioneers; a publication of the original lists of arrivals in the port of Philadelphia from 1727 to 1808, | 10361 views | 1934
Henry Duke, councilor, his descendants and connections; comprising partial records of many allied families. | 10359 views | 1949
Applied pattern designing, illustrated; based on the patternmaking methods of Abram Mayer. | 10359 views | 1950
Guide to Rhodesia : for the use of tourists & settlers; with illustrations, maps & plans / | 10359 views | 1914
The late medieval Balkans : a critical survey from the late twelfth century to the Ottoman Conquest / | 10343 views | 1987
Harbaugh history; a directory, genealogy and source book of family records, | 10341 views | 1947
The universal  stock register of eastern Oregon brands. Together with the laws of the state of Oregon, relating to the branding and marking of stock. | 10339 views | 1890
The Washington ancestry, and records of the McClain, Johnson, and forty other colonial American families : prepared for Edward Lee McClain / | 10338 views | 1932
Lloyd's list. | 10338 views | 1758
Everyman, a morality play; | 10324 views | 1908
Hospital and medical economics, a study of population, services, costs, methods of payment, and controls, | 10323 views | 1962
Your health, your sanity in the age of treason ; : food and liquids used as a medium in deliberately and carefully planned methods developed by the vicious element of humanity, for the mental deterioration and moral debasement of the mass. | 10323 views | 1958
One hundred years of brewing : A complete history of the progress made in the art, science and industry of brewing in the world, particularly during the last century. | 10318 views | 1900
Lloyd's list. | 10317 views | 1812
Motorcycle illustrated. | 10312 views | 1914
American rifleman. | 10311 views | 1922
Behind the Urals, | 10311 views | 1942
Käthe Kollwitz / | 10310 views | 1992
Alternating-current circuits / | 10310 views | 1951
McClure's magazine. | 10306 views | 1898
Glossarium ad scriptores mediae et infimae Latinitatis / | 10303 views | 1736
Ladies' home journal and practical housekeeper. | 10301 views | 1889
The Red book of the Exchequer / | 10300 views | 1896
The descendants of John Drake of Windsor, Connecticut / | 10298 views | 1933
Sizer genealogy : a history of Antonio de Zocieur, who changed his name to Anthony Sizer, and Abel Sizer, Daniel Sizer, Lemuel Sizer, Sarah Sizer Bill, Samuel Sizer, William Sizer, the six of his twelve children who left descendants, including many other Sizer families / | 10296 views | 1941
Journal of the Western Society of Engineers. | 10286 views | 1901
The Colored American magazine. | 10283 views | 1909
Wages and hours of labor in the iron and steel industry: 1907-1924. | 10279 views | 1925
Harless genealogy, John Philip and Anna Margaretha (Preiss) Harless; pioneers in western Virginia and some of their descendents, | 10276 views | 1962
Albrecht Dürer's Renaissance : humanism, reformation, and the art of faith / | 10273 views | 2003
Report of the Commission on the Palestine disturbances of August, 1929. / | 10267 views | 1930
Index to the probate records of the County of Suffolk, Massachusetts : from the year 1636 to and including the year 1893 / | 10262 views | 1895
How we think | 10258 views | 1909
Union scale of wages and hours of labor, May 15, 1924. | 10246 views | 1925
Calendar of the close rolls... [of] Henry IV / | 10243 views | 1938
Nomination of Jefferson B. Sessions III, to be U.S. District Judge for the Southern District of Alabama : hearings before the Committee on the Judiciary, United States Senate, Ninety-ninth Congress, second session ... March 13, 19, 20, and May 6, 1986. | 10228 views | 1987
Glossarium ad scriptores mediae et infimae Latinitatis / | 10228 views | 1736
Baptismal and marriage registers of the old Dutch church of Kingston, Ulster County, New York | 10227 views | 1891
Cousineau sur la baie : a history of the Cousineau's and their influence on the growth of the Bay settlement know as Erie / | 10227 views | 1958
The theory and practice of ice cream making, | 10211 views | 1935
The new empire: an interpretation of American expansion, 1860-1898. | 10208 views | 1963
Your voice : applied science of vocal art, singing and speaking / | 10206 views | 1945
Leonardo da Vinci on the human body : the anatomical, physiological, and embryological drawings of Leonardo da Vinci / | 10204 views | 1952
Physical principles of oil production. | 10194 views | 1949
The world's best poetry ... | 10192 views | 1904
Der Orchideengarten. | 10190 views | 1921
Jakuba Parkosza traktat o ortografii polskiej / | 10182 views | 1985
The Directory and Chronicle for China, Japan, Corea, Indo-China, Straits Settlements, Malay States, Siam, Netherlands India, Borneo, the Philippines, and etc | 10178 views | 1922
Vassouras, a Brazilian coffee county, 1850-1900. | 10175 views | 1957
The magistrates of the Roman Republic / | 10168 views | 1952
Collier's. | 10161 views | 1915
A history of playing cards and a bibliography of cards and gaming. | 10161 views | 1930
The high-speed internal-combustion engine, | 10161 views | 1941
The Hamlin family; a genealogy of James Hamlin of Barnstable, Massachusetts, eldest son of James Hamlin, the immigrant, who came from London, England, and settled in Barnstable, 1639. 1639-1902, | 10157 views | 1902
Introduction to electromagnetic fields and waves | 10156 views | 1962
Sterilization in food technology; theory, practice, and calculations | 10153 views | 1957
Federal legislative jurisdiction : report : prepared for Public Land Law Review Commission / | 10137 views | 1969
The book of alphabets and layouts, designs, scrolls, panel ends, descriptive matter : the art of metal etching for ornamental and sign purposes, written and illustrated by Al. Imelli. | 10130 views | 1922
Pax Romana and world peace. | 10125 views | 1951
Attorney General's Commission on Pornography : final report. | 10124 views | 1986
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 10121 views | 1968
Beckwith organs. [Illustrated catalogue of organs] | 10120 views | 1904
A history and genealogy of the Herring-Haring-Hering-Harring family of Pennsylvania. Descendants of Johonn Görg Höring, pioneer in Greenwich Township, Berks County. | 10112 views | 1966
American architect and architecture. | 10109 views | 1915
Predynastic and archaic Egypt in the Brooklyn Museum / | 10108 views | 1984
Leviathan. | 10102 views | 1950
The Deland family in America a biographical genealogy / | 10097 views | 1943
Annual report of the Superintendent of Immigration to the Secretary of the Treasury for the fiscal year ended ... | 10096 views | 1901
Metropolitan. | 10095 views | 1915
The colonial clergy and the colonial churches of New England, | 10094 views | 1936
The etiquette of beauty, | 10093 views | 1927
A history of the Protestant Downeys of the counties of Sligo, Leitrin, Fermanagh & Donegal & their descendants : also of the Hawksby family. | 10089 views | 1931
Lloyd's register of British and foreign shipping. | 10081 views | 1816
Hopkins of Virginia and related families, | 10073 views | 1931
Token shipment, the story of America's war refugee shelter. | 10072 views | 1946
The 409th Infantry in World War II, | 10066 views | 1947
Front line surgeons; a history of the Third Auxiliary Surgical Group. | 10064 views | 1950
Peterson magazine. | 10062 views | 1859
Eight lines of descent of John Prescott, founder of Lancaster, Massachusetts, 1645, from Alfred the Great, King of England, 871-901 / | 10058 views | 1957
The curse of Kehama: | 10056 views | 1811
Withers family of the County Lancaster, England, and of Stafford County, Virginia : establishing the ancestry of Robert Edwin Withers, III / | 10055 views | 1947
The abridged compendium of American genealogy; first families of America; a genealogical encyclopedia of the United States, | 10055 views | 9999
Key and allied families, | 10050 views | 1931
Motif-index of folk-literature; a classification of narrative elements in folktales, ballads, myths, fables, mediaeval romances, exempla, fabliaux, jest-books, and local legends. | 10046 views | 1958
All Leatherman kin history; a brief history and a partial genealogical record of Leatherman families and  their descendants in the North American continent, with records of wills, transfers of real estate, and special activities in the lives of some of the subjects, with portraits and other illustrations; | 10042 views | 1940
Verzeichnis der Bürger der Stadt Zürich. | 10040 views | 1819
Centralblatt für Eisenbahnen und Dampfschiffahrt der Oesterreichisch-Ungarischen Monarchie. | 10038 views | 1872
American marriage records before 1699, | 10038 views | 1926
Racial realities in Europe / | 10037 views | 1924
A commentary on Cicero, De Officiis / | 10033 views | 1996
The Territorial papers of the United States. | 10010 views | 1956
Theory and design of steam and gas turbines. | 10010 views | 1954
Management and leadership. | 10007 views | 1954
The Garnsey-Guernsey genealogy : an account of thirteen generations of descendants from Henry Garnsey (---- -1692) of Dorchester, Mass., and Joseph Guernsie-Garnsey (---- -1688) of Stamford, Conn. / | 10004 views | 1963
Walworth-Walsworth genealogy, 1689-1962 : descendants, male & female, of William Walworth & Mary Abigail Seaton. | 10003 views | 1962
The physical anthropology of Ireland, | 10003 views | 1955
The Dulin family in America. | 9987 views | 1961
Commemorative historical and biographical record of Wood County, Ohio : its past and present : early settlement and development ... biographies and portraits of early settlers and representative citizens, etc. | 9983 views | 1897
Official roster of the soldiers of the State of Ohio in the War of the Rebellion, 1861-1866 / | 9977 views | 1895
History of the descendants of John Hottel (immigrant from Switzerland to America) and an authentic genealogical family register of ten generations from the first of the name in America, 1732, to the present time, 1929, with mumerous brief biographical sketches, collected and compiled from many indisputable sources: court and church records, old and late family records and tombstones of the many states in the Union. | 9968 views | 1930
The Continental Army / | 9967 views | 1983
The white king of la Gonave, | 9961 views | 1931
The many faces of political Islam : religion and politics in the Muslim world / | 9957 views | 2008
Vanity fair. | 9956 views | 1921
Motor boating. Ideal series. v.1- | 9954 views | 1920
Godey's magazine. | 9949 views | 1859
The papers of Col. Henry Bouquet ... | 9943 views | 9999
The Pirkles and their descendants in the U.S.A. / | 9938 views | 1933
Railroad gazette. | 9927 views | 1877
1899 business and professional directory of Detroit and surrounding towns. | 9925 views | 1899
[Asrār al-āyāt wa-anwār al-bayyināt ... etc., 193-?]. | 9924 views | 1939
Why not try God? | 9922 views | 1934
Harper's weekly. | 9917 views | 1898
Retail prices. | 9914 views | 1934
Peterson's magazine | 9910 views | 1892
The statutes of the realm : Printed by command of his majesty King George the Third, in pursuance of an address of the House of Commons of Great Britain. From original records and authentic manuscripts / | 9909 views | 1828
History of the Third Infantry Division in World War II, | 9909 views | 1947
The abridged compendium of American genealogy; first families of America; a genealogical encyclopedia of the United States, | 9906 views | 9999
The Ancestry of Herbert Ervin Gustin and that of his wife Julia Livingston Carlisle and their descendants together with some account of the Gustin family in America / | 9900 views | 1954
Golf architecture in America, its strategy and construction, | 9895 views | 1927
The new abolitionists : a narrative of a year's work : being an account of the mission undertaken to the continent of Europe by Mrs. Josephine Butler, and of the events subsequent thereupon / | 9890 views | 1876
Indian boyhood. | 9887 views | 1902
Godey's magazine. | 9878 views | 1848
The statutes of the realm : Printed by command of his majesty King George the Third, in pursuance of an address of the House of Commons of Great Britain. From original records and authentic manuscripts / | 9874 views | 1828
Pattern grading, simplified; a manual for grading women's, misses', juniors' and children's dresses, suits and coats. | 9873 views | 1948
Ours to hold it high; the history of the 77th Infantry Division in World War II, | 9866 views | 1947
The Coldstream guards, 1914-1918, | 9864 views | 1928
Power wagon reference book. | 9856 views | 1919
Monetary policy under the international gold standard, 1880-1914 / | 9852 views | 1959
Introductory quantum mechanics. | 9849 views | 1938
The metalogicon of John of Salisbury : a twelfth-century defense of the verbal and logical arts of the trivium / | 9848 views | 1955
The infrared handbook / | 9841 views | 1978
Walter Haynes of Sutton Mandeville, Wiltshire, England, and Sudbury, Massachusetts : and his descendants, 1583-1928 / | 9840 views | 1929
The story of a whim / | 9839 views | 1903
Excavations at Eutresis in Boeotia, conducted by the Fogg art museum of Harvard university in coöperation with the American school of classical studies at Athens, Greece, | 9831 views | 1931
Militär-Schematismus des österreichischen Kaiserthums. | 9829 views | 1815
Freight cars rolling. | 9822 views | 1960
Business psychology, | 9820 views | 1912
Gideon Macon of Virginia and some of his descendants. Allied families, | 9818 views | 1956
Degeneration, regeneration. | 9814 views | 1949
Mathematical theory of elasticity. | 9810 views | 1941
Women's letters from ancient Egypt, 300 BC-AD 800 / | 9803 views | 2006
The drafting of the Covenant, | 9800 views | 1928
Theory at a glance : a guide for health promotion practice / | 9797 views | 1997
Scholl, Sholl, Shull genealogy, the colonial branches, | 9797 views | 1930
Monetary tables for disability benefits, based on 1952 disability study, period 2, combined with the 1958 CSO mortality tables, benefit 5 (extended) and benefit 4 (modified), 2 1/2% [3% and 3 1/2] interest: basic values net premiums and mean reserves, net continuous yearly premiums. | 9794 views | 1962
Phosphorus and its compounds. | 9791 views | 1961
Godey's magazine. | 9791 views | 1840
The 3c stamp of the United States 1851-1857 issue, | 9785 views | 1942
U.S. Coast Guard bulletin. | 9780 views | 1945
Boletín histórico de Puerto Rico. | 9774 views | 1915
The doctrines and discipline of the African Methodist Episcopal Zion Church in America  / | 9771 views | 1892
Historical and genealogical account of the Rush family, | 9765 views | 1925
Our handy book of types, borders brass rule and cuts, printing machinery ... | 9761 views | 1901
The building of the Roman aqueducts / | 9757 views | 1934
Jarrett magic and stage craft; technical. | 9755 views | 1936
The United nations conference on international organization, San Francisco, California, April 25 to June 26, 1945. Selected documents. | 9748 views | 1946
The Colored American magazine. | 9747 views | 1904
Speculum historiale / | 9747 views | 1494
Descendants of Louis Guion, Huguenot of La Rochelle, France, and New Rochelle, West Chester County, Province of New York : a Guion family album, 1654 to 1976 / | 9745 views | 1976
Cost of living in the United States ... May, 1924. | 9740 views | 1924
Turret lathe operator's manual. | 9740 views | 1940
Harper's weekly. | 9737 views | 1900
Godey's magazine. | 9737 views | 1858
Gazetteer of the Persian Gulf, 'Oman, and Central Arabia. | 9735 views | 1915
The dynamics and thermodynamics of compressible fluid flow. | 9734 views | 1954
The Willson family, 1672-1959. | 9732 views | 1959
Principles of tile engineering; handbook of design, | 9727 views | 1947
The Birth control review. | 9726 views | 1921
Genealogy of John Walker from Ireland, 1720 : and some of his ancestors in England and Ireland and some of his descendants in America / | 9725 views | 1934
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 9721 views | 1968
The Kline klan, | 9703 views | 1960
The Brubaker genealogy, | 9701 views | 1912
Vital records of Roxbury, Massachusetts to the end of the year 1849. | 9699 views | 1926
Viscosities of sucrose solutions at various temperatures : tables of recalculated values / | 9697 views | 1958
The Wilford-Williford family treks into America / | 9695 views | 1959
The Saturday evening post. | 9678 views | 1916
Michigan state gazetteer and business directory for ... | 9677 views | 1892
Underwriting manual; underwriting analysis under title II, section 203 of the National housing act. | 9673 views | 1936
The Gentleman's magazine. | 9672 views | 1786
Boyd's directory of the District of Columbia. | 9665 views | 1887
20th century catalogue of supplies for watchmakers, jewelers and kindred trades. | 9661 views | 1899
McClure's magazine. | 9657 views | 1893
The law of retail gravitation, | 9653 views | 1931
Magnetic amplifiers, theory and application. | 9651 views | 1958
1986 Art of War Symposium : from the Vistula to the Oder, Soviet offensive operations, October 1944 - March 1945 ; transcript of proceedings. | 9642 views | 1986
The Inland architect and news record. | 9640 views | 1894
Transportation on the western front, 1914-1918, | 9636 views | 1937
The book of government; or, Rules for kings | 9632 views | 1960
The Saturday evening post. | 9629 views | 9999
Ad quadratum; a study of the geometrical bases of classic & medieval religious architecture, with special reference to their application in the restoration of the cathedral of Nidaros (Throndhjem) Norway, | 9618 views | 1921
Calendar of the Patent rolls preserved in the Public record office / | 9613 views | 1916
Applied general statistics, | 9608 views | 1940
Colección de cánones de la Iglesia española / | 9601 views | 1859
Archaeology of Oahu, | 9599 views | 1933
Archibald Robertson: his diaries and sketches in America, 1762-1780. | 9593 views | 1971
History and genealogy of the ancestors and some descendants of Stukely Westcott : one of the thirteen original proprietors of Providence Plantation and the colony of Rhode Island / | 9592 views | 1939
The graphic regional plan; atlas and description ... | 9591 views | 1929
Phenomena of pneumatic tire hydroplaning / | 9590 views | 1963
Oil division final report. Oil division ... | 9588 views | 1947
Introductory circuit theory. | 9585 views | 1953
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 9582 views | 1968
Sketching and rendering in pencil / | 9577 views | 1922
Record of the descendants of John Bishop, one of the founders of Guilford, Connecticut in 1639. | 9571 views | 1951
Varsity letters : documenting modern colleges and universities / | 9567 views | 1992
História orgánica de las armas de infantería y caballería españolas desde la creación del Ejercito permanente hasta el día. | 9563 views | 1859
Poor's manual of railroads. | 9562 views | 1893
Minisink Valley Reformed Dutch Church records, | 9561 views | 1913
Chippewa customs / | 9551 views | 1929
Philosophical transactions, giving some accompt of the present undertakings, studies and labors of the ingenious in many considerable parts of the world  | 9539 views | 1666
Jane Austen; irony as defense and discovery. | 9537 views | 1974
Mechanical springs, | 9536 views | 1944
Catalog of Eugene Dietzgen Co. | 9535 views | 1931
Canoes and kayaks of Western America / | 9529 views | 1960
Lloyd's list. | 9528 views | 1810
Tables of dielectric dispersion data for pure liquids and dilute solutions / | 9528 views | 1958
The history of Woodstock, Connecticut, | 9526 views | 1943
Alberti Pii Carporum Comitis... Tres [et] uiginti libri in locos lucubrationum uariarum D. Erasmi Roterodami, quos censet ab eo recognoscendos [et] retractandos. | 9523 views | 1531
Savage squadrons / | 9520 views | 1935
Corporation report ... | 9504 views | 1947
The tryst, | 9492 views | 1921
The Rennolds-Reynolds family of England and Virginia, 1530-1948. | 9482 views | 1948
Commercial car journal. | 9481 views | 1931
Souvenir of Ogdensburg, N.Y. in heliotype. | 9480 views | 1895
The story of the Gilmans and a Gilman genealogy of the descendants of Edward Gilman of Hingham, England, 1550-1950. | 9480 views | 1950
The Blauvelt family genealogy; a comprehensive compilation of the descendants of Gerrit Hendricksen (Blauvelt) 1620-1687, who came to America in 1638. | 9477 views | 1957
Código civil del Distrito federal y territorio de la Baja-California. Mandando observar en el estado de Hidalgo, por decreto de 21 de setiembre de 1871. | 9475 views | 1871
Electrical experiments : illustrating the theory, practice, and application of the science of free or frictional electricity : containing the methods of making and managing electric apparatus of every descrition : with numerous illustrative engravings / | 9475 views | 1854
Vulcan locomotives [catalog] | 9474 views | 1911
The Voice of the Negro. | 9472 views | 1907
The delineator. | 9472 views | 1894
Dr. Martin Luthers Sämmtliche schriften, | 9460 views | 1910
L'illustration : journal universel. | 9460 views | 1854
Ancestry of Charles Stinson Pillsbury and John Sargent Pillsbury / | 9452 views | 1938
Memories; or, The chronicles of Birkenhead, the scenes and people of its early days. | 9445 views | 1892
McClure's magazine. | 9443 views | 1911
Robert Vose and his descendants / | 9442 views | 1932
Nicholas Knapp genealogy. | 9441 views | 1953
A history of the Indian Medical Service : 1600-1913 / | 9437 views | 1914
Pearson's magazine. | 9433 views | 1897
The ancestry of Phoebe Tilton, 1775-1847, wife of Capt. Abel Lunt of Newburyport, Massachusetts. | 9428 views | 1947
Eyewitness, being personal reminiscences of certain phases of the Great War, including the genesis of the tank, | 9427 views | 1933
The Official railway equipment register. | 9427 views | 1905
Rudder. | 9422 views | 1906
The Colored American magazine. | 9420 views | 1909
Wages and hours of labor in the lumber, millwork, and furniture industries, 1890 to 1912 | 9420 views | 1913
Motif-index of folk-literature; a classification of narrative elements in folktales, ballads, myths, fables, mediaeval romances, exempla, fabliaux, jest-books, and local legends. | 9418 views | 1958
Treaties and other international acts of the United States of America / | 9416 views | 1948
Punch. | 9410 views | 1842
Twilight of the idols : or, How to philosophise with the hammer ; The Anti-Christ ; Notes to Zarathustra and Eternal recurrence / | 9410 views | 1911
A Chinese-English dictionary / | 9405 views | 1912
Documents relating to New-England Federalism. 1800-1815. | 9404 views | 1877
Acta conciliorum oecumenicorum / | 9400 views | 9999
Bulletin of the New York Public Library, Astor, Lenox and Tilden Foundations. | 9398 views | 1958
Open-file report / | 9393 views | 1999
Early western Augusta pioneers : including the families of Cleek, Gwin, Lightner, and Warwick, and related families of Bratton, Campbell, Carlile, Craig, Crawford, Dyer, Gay, Givens, Graham, Harper, Henderson, Hull, Keister, Lockridge, McFarland, and Moore. | 9389 views | 1957
A handbook of Arabia. Volume I. General / | 9386 views | 1920
Louisiana in the War of 1812. | 9385 views | 1963
The Dorsey family : descendants of Edward Darcy-Dorsey of Virginia and Maryland for five generations, and allied families / | 9376 views | 1947
Record of service of Michigan volunteers in the civil war, 1861-1865. | 9375 views | 1909
Junior Girl Scout handbook. | 9375 views | 1963
American Kennel Club stud book. | 9374 views | 1916
McDills in America : a history of the descendants of John McDill and Janet Leslie of County Antrin, Ireland; also a partial record of other branches of the McDill, MacDill, Medill and Madill families / | 9372 views | 1940
The principles of scientific management / | 9368 views | 1911
