Top 2000 HathiTrust Closed Titles, May 2014-May 2017


Title |  Attempted Uses | Publication Date
Source records of the great war : a comprehensive and readable source record of the world's great war, emphasizing the more important events, and presenting these as complete narratives in the actual words of the chief officials and most eminent leaders ... presenting documents from government archives and other authoritative sources, with outline narratives, indices, chronologies, and courses of reading on sociological movements and individual national activities / | 216 views | 1923
Persian art. | 216 views | 1876
The ship of glass. | 216 views | 1946
Labour's way to peace, | 216 views | 1935
A preliminary report on the atrocities committed in southern Spain in July and August, 1936, by the communist forces of the Madrid government, together with a brief historical note of the course of recent events in Spain. | 216 views | 1936
Highways and byways in the Lake district, | 216 views | 1927
Muslim law. An historical introduction to the law of inheritance / | 216 views | 9999
A catalogue of books in foreign languages of all periods : including Greek Papyri and Oriental and European manuscripts. | 215 views | 1938
The English reports. | 215 views | 1932
Songs of earth / | 215 views | 1938
John William Hinchley, chemical engineer : a memoir / | 215 views | 1935
Mariages (1830-1880) comté de Clinton (New York) = marriages (1830-1880) Clinton County (New York) / | 215 views | 1984
Storia dell'Italia antica. | 215 views | 1925
In Czechoslovakia's hinterland, | 215 views | 1938
Physical methods of organic chemistry / Edited by Arnold Weissberger | 215 views | 1960
Handbook of South American Indians. | 215 views | 1963
Botany of the Canadian eastern Arctic | 215 views | 1940
The mammals of South Australia. | 215 views | 1925
The arts in early England, | 214 views | 1937
The roster of Confederate soldiers, 1861-1865 / | 214 views | 9999
Archives d'histoire doctrinale et littéraire du moyen âge. | 214 views | 1968
I get my picture. | 214 views | 1938
Old English household life : some accounts of cottage objects and country folk / | 214 views | 1925
Assertio septem sacramentorum adversus Martinum Lutherum / | 214 views | 1992
Railway electrification and traffic problems / | 214 views | 1929
Stories of Russian folk-life / | 214 views | 1930
Mathematics in life and thought : a lecture delivered at the college on November 14, 1928 / | 214 views | 1929
Metallurgical thermochemistry, | 214 views | 1951
Man of Aran, | 214 views | 1935
The peoples of Southern Nigeria; a sketch of their history, ethnology and languages, with an abstract of the 1921 census, | 213 views | 1926
The Pastons and their England; studies in an age of transition, | 213 views | 1932
Sunh'ati Shudan-i Iran va Shurish-i Sheekh Ahmed Madani. | 213 views | 1371
Important & valuable books on literature, art, biography, history, bibliography, heraldry, voyages & travels, etc. | 213 views | 1929
Directory of brokers and salesmen. | 213 views | 1925
Proceedings of the American Society for Horticultural Science. | 213 views | 1968
Historical records. | 213 views | 1962
Nichiren Shōshū Sōka Gakkai. | 213 views | 1966
A danger spot in Europe and its government by the League of nations, | 213 views | 1925
Atkinson & Hilgard's introduction to psychology / | 213 views | 2003
Index londinensis to illustrations of flowering plants, ferns and fern allies, being an emended and enlarged edition continued up to the end of the year 1920 of Pritzel's Alphabetical register of representations of flowering plants and ferns compiled from botanical and horticultural publications of the XVIIIth and XIXth centuries; : prepared under the auspices of the Royal horticultural society of London at the Royal botanic gardens, Kew, / | 212 views | 1931
A historical geography of the British dominions. | 212 views | 1923
Area handbook for Venezuela / | 212 views | 1977
The golden bough; a study in magic and religion. | 212 views | 1935
Harlequinade; the story of my life, | 212 views | 1929
Caribbean sociology : introductory readings / | 211 views | 2001
Passports of southeastern pioneers, 1770-1823 : Indian, Spanish and other land passports for Tennessee, Kentucky, Georgia, Mississippi, Virginia, North and South Carolina / | 211 views | 1990
Bibliography of prohibited books ... : bio-biblio-icono-graphical and critical notes on curious, uncommon and erotic books / | 211 views | 1962
Cuneiform texts from Babylonian tablets in the British Museum. | 211 views | 9999
The why and what of institutional care; papers presented at workshop of Canadian Conference on Social Work, Toronto, June, 1954. | 211 views | 1954
The Glenalmond register; a record of all those who have entered Trinity College, Glenalmond, 1847-1929. | 211 views | 1929
Collected reprints [on virus diseases of plants] | 211 views | 1948
Report on the British health services; a survey of the existing health sevices in Great Britain with proposals for future development. December, 1937. | 211 views | 1937
Schriften zur Weltpolitik. | 211 views | 1940
Report of the Federal Trade Commission on the grain trade | 211 views | 1926
The Right Honourable Sir Mortimer Durand, P.C., O.C., M.G., K. C., S. L., K.C., I.E.,; a biography by Brigadier General Sir Percy Sykes... | 211 views | 1926
The Paris embassy; a narrative of Franco-British diplomatic relations 1814-1920, | 210 views | 1927
Boletín de música y artes visuales. | 210 views | 1956
CIS index to unpublished US Senate committee hearings, ... Congress- ... Congress. | 210 views | 1964
Selected letters of Madame de Sévigné; | 210 views | 1925
The Englishwoman's review of social and industrial questions. | 210 views | 1910
The book of bread. | 210 views | 1893
Popular research narratives; stories of research, invention, or discovery, directly from the "men who did it," pithily told in language for laymen, young and old, | 209 views | 9999
Nicholas Glassberger and his works, with the text of his Major cronica Boemorum moderna (A. D. 1200-1310) | 209 views | 1923
The Romany rye ; a sequel to "Lavengro." / | 209 views | 1926
Canadian cook book, | 209 views | 1947
Jane Eyre, | 209 views | 1924
Ford, the times, the man, the company / | 209 views | 1954
Heroes in exile. | 208 views | 1928
The Victoria history of the county of Gloucester; | 208 views | 9999
Industrial relations. | 208 views | 1964
The men I killed. | 208 views | 1937
The life & times of Bishop Ullathorne, 1806-1889, | 208 views | 1926
Player in action; John Gielgud as King Lear. | 208 views | 1942
The eighteenth decisive battle of te world : Warsaw, 1920 / | 208 views | 1931
History of the municipalities of Hudson County, New Jersey, 1630-1923. | 207 views | 1924
The tenant of Wildfell Hall, | 207 views | 1924
The phonetics of Arabic; a phonetic inquiry and practical manual for the pronunciation of classical Arabic and of one colloquial (the Egyptian) | 207 views | 1925
The story of the flute : being a history of the flute and everything connected with it / | 207 views | 1928
Classical and Christian ideas of world harmony; prolegomena to an interpretation of the word "Stimmung." | 207 views | 1963
America begins; early American writing. | 207 views | 1950
Rare and valuable books, comprising incunabula, woodcut books, bibliography and printing art, etc. | 207 views | 1939
Cardinal Pole and his early friends, | 207 views | 1927
The inhabitants of London in 1638 : edited from Ms. 272 in the Lambeth Palace Library / | 207 views | 1931
Unitarian biographical dictionary, being short notices of the lives of noteworthy Unitarians, and kindred thinkers, brought down to the year 1900. | 206 views | 1902
A record of the parish of Shrivenham, Berkshire ... | 206 views | 1928
Schooldays with Kipling, | 206 views | 1936
Year books of Edward II / | 206 views | 9999
Ups and downs; the reminiscences of a soldier-rider, | 206 views | 1939
The composition of Homer's Odyssey / | 206 views | 1930
Wanderings in wild Australia. | 206 views | 1928
Economic report [on] Webb-Pomerene associations: a 50 year review. Staff report to the Federal Trade Commission. | 206 views | 1967
The letters of the Rev. John Wesley ... | 206 views | 1931
Summary of operations; annual report of the State Oil and Gas Supervisor. | 206 views | 1935
Mississippi Black history makers / | 206 views | 1977
The signs of old Lombard street / | 205 views | 1887
An introduction to bibliography for literary students, | 205 views | 1928
The prisoners of the '45 / | 205 views | 9999
The pursuits of leisure & other essays, | 205 views | 1929
The book of American negro poetry, chosen and edited with an essay on the negro's creative genius, | 205 views | 1931
Following printed trails; | 205 views | 1936
Migration to and from Merseyside: home, Irish, overseas. | 205 views | 1938
Changing to the metric system / | 205 views | 1978
Calendar of plea and memoranda rolls preserved among the archives of the Corporation of the city of London at the Guild-hall. | 204 views | 1961
Forest insects of Australia / | 204 views | 1923
The Harrow school register, 1571-1800, | 204 views | 1934
Cyprus : a portrait and an appreciation / | 204 views | 1957
Andalucía la baja (poemas en verso) | 204 views | 1926
Archives d'histoire doctrinale et littéraire du moyen âge. | 204 views | 1961
Hints on advocacy. Conduct of cases civil and criminal, classes of witnesses, and suggestions for cross-examining them, etc., etc. | 203 views | 1937
Some Filipino beliefs, | 203 views | 1930
King of the cannibal isles, a tale of early life and adventure in the Fiji islands, | 203 views | 1937
Special monograph. | 203 views | 9999
Qafileh-ye Salar-i Sukhan. | 203 views | 1370
Science, technology, and development : United States papers prepared for the United Nations Conference on the Application of Science and Technology for the Benefit of the Less Developed Areas. | 203 views | 1963
The letters and journal of Brand Whitlock ... | 203 views | 1936
Historic gardens of England, | 203 views | 1938
Things seen on the Riviera : a description of its interesting peoples & their ways and the charming scenes of the French & Italian Rivieras lying between Marseilles & Genoa / | 202 views | 1924
Dryburgh abbey, Berwickshire. | 202 views | 1937
The Living church. | 202 views | 1996
News notes of California libraries. | 202 views | 1926
Catálogo alfabético de apellidos / | 202 views | 1973
Poem counterpoem / | 202 views | 1969
The life of Samuel Johnson, LL. D. | 202 views | 1924
The case for the sea-serpent / | 202 views | 1930
High points in the work of the high schools of New York City. | 202 views | 1936
World war records : First division, A.E.F., regular. | 202 views | 1928
Wisconsin library bulletin. | 202 views | 1950
The displacement of population in Europe, | 202 views | 1943
Concrete : its use in building and the construction of concrete walls, floors, etc. | 202 views | 1877
A banking centenary: Barclays bank (dominion, colonial and overseas) 1836-1936. For private circulation. | 202 views | 1938
A book of battles; being a description of fifteen battles that determined the course of civilization, together with some account of the men who fought them and the women who influenced them, | 202 views | 1935
The Missionary herald / | 202 views | 1923
The history of the Millsaps / | 201 views | 1993
British standard specification for machine cut gears. A. Helical and straight spur. | 201 views | 1933
"Historic London under fire" being a record of the speeches delivered during the first week of the exhibition of photographs and drawings of London's historic buildings before and after war damage, organized by the Ecclesiological Society, the Society for the Protection of Ancient Buildings, the Art-workers' Guild, and the London Society, and held at the St. Martin's School of Art, Charing Cross road, from the 23rd March to the 18th April, 1942 ... | 201 views | 1942
Seventy years of life and labor: an autobiography, | 201 views | 1925
Alumni dublinenses; a register of the students, graduates, professors and provosts of Trinity college in the University of Dublin (1593-1860) | 201 views | 1935
The register of marriages, baptisms & burials of the parish of Widecombe-in-the-Moor, Devon. / | 201 views | 1937
Resources development: frontiers for research / | 201 views | 1960
Taliessin through Logres, | 201 views | 1938
With Michael Collins in the fight for Irish independence, | 201 views | 1929
The wander years; hunting and travel in four continents | 200 views | 1931
The life of Sir Edward Marshall Hall / | 200 views | 1930
The guiding light / | 200 views | 1962
Foundations, a statement of Christian belief in terms of modern thought: | 200 views | 1929
Wisconsin library bulletin. | 200 views | 1960
Täällä Pohjantähden alla. | 200 views | 1959
Food and drink through the ages, 2500 B.C. to 1937 A.D. A catalogue of antiquities, manuscripts, books, and engraving treating of cookery, eating and drinking; including books from the library and with the bookplate of Robert Viel, the famous Paris restaurateur. | 200 views | 1937
The Beauchamp cartulary charters, 1100-1268 / | 200 views | 1980
The resources of the Empire, a business man's survey of the Empire's resources; | 200 views | 1924
East again : the narrative of a journey in the Near, Middle and Far East / | 199 views | 1935
White China. An Austral-Asian sensation. | 199 views | 1933
Si Matabagka at ang tagapag-ingat ng hangin / | 199 views | 1987
The golden treasury of myths and legends / | 199 views | 1959
Early settlers of New York State : their ancestors and descendants / | 199 views | 1993
English lyrics of the XIIIth century, | 199 views | 1932
Chinese imperial city planning / | 199 views | 1990
The music of Bach, an introduction, | 198 views | 1933
Report of the Canadian Arctic expedition, 1913-18. | 198 views | 1946
Lord Cornwallis. | 198 views | 1926
The early settlers of Maryland; an index to names of immigrants compiled from records of land patents, 1633-1680, in the Hall of Records, Annapolis, Maryland. | 198 views | 1968
Calendar of the close rolls preserved in the Public Record Office. | 197 views | 1941
The Irish countryman; an anthropoligical study, | 197 views | 1937
David Blaize / | 197 views | 1929
Report to the XXth Congress of the Communist Party of the Soviet Union / | 197 views | 1956
The scalpel of Scotland Yard; the life of Sir Bernard Spilsbury, | 197 views | 1952
Horace at Tibur and the Sabine farm ... | 197 views | 1923
Art and life / | 197 views | 1910
Detroit city directories. | 197 views | 9999
Iohannis de Caulibus Meditaciones vite Christi : olim S. Bonaventuro attributae / | 197 views | 1997
Mark Twain's America, | 197 views | 1932
Annales minorum seu trium ordinum a S. Francisco institutorum ... | 197 views | 9999
China and Japan. | 197 views | 1939
The social relations of science, | 197 views | 1941
Transcript of hearing on House Resolution 311 (1967). Study of safety membership as relating to public retirement systems. Sacramento, July 13, 1967. | 197 views | 1967
As others see us: Scots of the Seaway Valley / | 197 views | 1959
Switching circuit theory and logical design : proceedings of the fourth annual symposium : Chicago, Ill., October 28-30, 1963 / | 196 views | 1963
Die Weltbühne. | 196 views | 1933
Revue suisse de zoologie. | 196 views | 9999
History of Beddington. | 196 views | 1923
The social and political systems of central Polynesia, | 196 views | 1924
Malice in wonderland : verses / | 196 views | 1932
Gemini G.E.L. : art and collaboration / | 196 views | 1984
The empire of the snakes, | 196 views | 1935
The Hittites; the story of a forgotten empire, | 196 views | 1925
New York City Methodist marriages, 1785-1893 / | 196 views | 1994
Hazar sal-i shìr-i Farsi az Rudaki ta Nima Yushij : bara-yi guruhha-yi sinni "D"-"H". | 195 views | 1365
Journals and letters of Reginald, viscount Esher, | 195 views | 1938
Graphic design : a new history / | 195 views | 2007
Pioneering in agriculture; one hundred years of American farming and farm leadership, | 195 views | 1937
Mitteilungen des Deutschen Archaeologischen Instituts. | 195 views | 9999
Novai͡a zhiznʹ : pervai͡a legalʹnai͡a s.-d. bolʹshevistskai͡a gazeta, 27 okti͡abri͡a-3 dekabri͡a 1905 goda / | 195 views | 1926
Seventeenth century colonial ancestors of members of the National Society Colonial Dames XVII Century : supplement. | 195 views | 1988
The allied secret service in Greece, | 195 views | 1931
A journal of reparations, | 195 views | 1939
To choose freedom / | 195 views | 1987
Analecta bollandiana. | 195 views | 9999
Things Japanese : being notes on various subjects connected with Japan, for the use of travellers and others / | 195 views | 1927
Anglosaxony: a league that works, | 195 views | 1941
History of United States naval operation in World War II. | 195 views | 1962
Basic neuroanatomy. | 195 views | 1961
The extra year : a report / | 195 views | 1938
Minakata Kumagusu zenshū. | 195 views | 1975
Marine diesel oil engines : a manual of marine oil engine practice/ | 194 views | 1938
Report on the maps and surveys / | 194 views | 1923
Sining ng pagsasaling-wika / | 194 views | 1976
The coinage and metrology of the sultāns of Delhi, incorporating a catalogue of the coins in the author's cabinet now in Delhi museum, | 194 views | 1936
Land of no regrets | 194 views | 1938
Legendae S. Francisci Assisiensis : saeculis XIII et XIV conscriptae ad codicum fidem recensitae a patribus collegii. | 194 views | 9999
Archivum franciscanum historicum. | 194 views | 1961
The Bombay city police; a historical sketch, 1672-1916, | 194 views | 1923
The Englishwoman's review of social and industrial questions. | 194 views | 1910
Safarnamah-'i Farhad Mirza Mùtamad al-Dawlah : hamrah ba tahshiyah va tàliqat. | 194 views | 1366
Wordsworth / | 194 views | 1936
The story of electromognetism, | 194 views | 1941
Robert Frost ; the trial by existence. | 194 views | 1960
The long journey ; Fire and ice / | 194 views | 1922
In the cause of education : centennial history of the Ontario Educational Association, 1861-1960 / by Edwin C. Guillet. | 193 views | 1960
Quaestiones in secundum librum Sententiarum / | 193 views | 1926
Belgium. The official account of what happened 1939-1940. | 193 views | 1941
A short history of Hampton court in Tudor and Stuart times, to the death of Charles I. | 193 views | 1924
The complete book of emigrants, 1751-1776 : a comprehensive listing compiled from English public records of those who took ship to the Americas for political, religious, and economic reasons; of those who were deported for vagrancy, roguery, or non-conformity; and of those who were sold to labour in the new colonies / | 192 views | 1993
Pontificale lanaletense (Bibliothèque de la ville de Rouen A. 27. cat. 368.) A pontifical formerly in use at St. Germans, Cornwall, | 192 views | 1937
The Englishwoman's review of social and industrial questions. | 192 views | 1881
Cavaliers and pioneers; abstracts of Virginia land patents and grants, 1623-1800. | 192 views | 1999
Farm weeds : illustrated in colour. | 192 views | 1951
Study of airpower. Hearings before the Subcommittee on the Air Force of the Committee on Armed Services, United States Senate, Eighty-fourth Congress, second session. Airpower. | 192 views | 1956
The Englishwoman's review of social and industrial questions. | 192 views | 1910
The republics of South America, | 192 views | 1937
Special monograph. | 192 views | 9999
A textbook of European musical instruments : their origin, history and character / | 192 views | 1937
Lo̕rnamento nella̕rchitettura; ornamento scolpito--ornamento dipinto--ornamento nei suoi assiemi. | 192 views | 1927
Six contemporaneous revolutions, | 192 views | 1938
Thomas Miller, 1609-1680, of Rowley, Mass., and Middletown, Ct. : thru five generation / | 192 views | 2000
The Layman's magazine of the living church. | 192 views | 1941
Industrial expansion. | 191 views | 1952
Catalogue of printed books and manuscripts; Oriental manuscripts and miniatures, etc., comprising incunables & early works on astronomy; the property of the late Dr. Edward Ball Knobel ... American tracts; history; bibliography; travel; crime; fiction; Italian 17th and 18th century manuscripts; botany; genealogy; costume; maps; etc., including the property of W.J. Humfrys, Esq. ... of R.E.P. Winton, Esq.; and other properties, which will be sold by auction ... May 10th and following day ... | 191 views | 1937
Phosphate and silicate in the Southern Ocean, | 191 views | 1938
The coast watchers, | 191 views | 1946
Medicines for the Union Army : the United States Army Laboratories during the Civil War / | 191 views | 1962
Memoirs of the Foreign legion / | 191 views | 1924
The loyalists of Massachusetts; their memorials, petitions and claims, | 191 views | 1930
The social survey of Merseyside, | 191 views | 1934
Medical and allied topics in Latin poetry / | 191 views | 1928
A short history of India, | 191 views | 1915
Gideon Algeron Mantel, surgeon and geologist / | 190 views | 1927
Cobbett: selections, with Hazlitt's essay and other critical estimates; | 190 views | 1923
National labor relations board. Hearings before the Committee on education and labor, United States Senate, Seventy-fourth Congress, first session, on S. 1958, a bill to promote equality of bargaining power between employers and employees, to diminish the causes of labor disputes, to create a national labor relations board, and for other purposes. | 190 views | 1935
Artists and their friends in England, 1700-1799, | 190 views | 1928
A calendar of the court minutes, etc., of the East India Company, | 190 views | 1938
Reading comprehension / | 190 views | 1978
Kitāb shifāʼ al-ghalīl fī-mā fī kalām al-ʻArab min al-dakhīl / | 190 views | 1325
Agnes Grey, | 190 views | 1924
Aubrey Beardsley : the clown, the harlequin, the pierrot of his age / | 189 views | 1928
Customary rents, | 189 views | 1974
Plane and spherical trigonometry ... | 189 views | 1943
Sancti Fulgentii episcopi Ruspensis Opera. | 189 views | 1968
The call from the Far East : being a comprehensive statement of the facts which constitute the Call from the Far East to the Church of England / | 189 views | 1926
Off the beaten track in the classics, | 189 views | 1936
Maryland conservationist. | 188 views | 1963
Om / | 188 views | 1931
Anglo-American trade relations. | 188 views | 1938
Encyclopaedia of ornament ; a collection of applied decorative forms from all nations and all ages ... / | 188 views | 1937
Shahryar : khatirat-i Shahryar va digaran. | 188 views | 1370
The black musketeers; the work and adventures of a scientist on a South sea island at war and in peace, | 188 views | 1937
Map of Roman Britain. | 188 views | 1928
The Western front, 1914, | 188 views | 1957
Monthly catalog of the United States government publications. | 188 views | no valid date
The Japan weekly mail | 188 views | 1915
Swinburne, a nineteenth century Hellene, | 188 views | 1931
The Composition of sea-water. Comparative and descriptive oceanography / | 188 views | 1963
The World Jewish petition / | 188 views | 1934
Boston church; a short guide. | 188 views | 1999
TV world. | 188 views | 1995
Maya & Mexican art, | 188 views | 1927
The date of the exodus in the light of external evidence, | 188 views | 1925
The pharmacologic principles of medical practice; a text book on pharmacology and therapeutics for medical students, physicians, and the members of the professions allied to medicine. | 188 views | 1949
La vida de Rubén Darío escrita por el mismo. | 187 views | 1976
Elementary principles of physics / | 187 views | 1925
The Changing constitution / | 187 views | 1989
La ficozza filosofica del fascismo e la marcia sulla Leonardo; libro edificante e sollazzevole. | 187 views | 1923
Southern campus. | 187 views | 1971
Works of love, by Søoren Kierkegaard, | 187 views | 1962
Cultural centers of color : report on a national survey / | 187 views | 1993
Vie d'Antoine / | 187 views | 1994
Sor Juana Inés de la Cruz : religion, art, and feminism / | 187 views | 1998
India as I knew it, 1885-1925, | 187 views | 1926
Fallen sun, a report on Japan. | 187 views | 1948
Photii Patriarchae Lexicon / | 187 views | 9999
Electron tubes and semiconductors: production, consumption, trade. Selected European countries. [Selected Latin American countries, and Selected foreign countries.] | 187 views | 1960
Ta'rikh-i Fakhru'd-Dín Mubáraksháh, being the historical introduction to the book of Genealogies of Fakhru'd-Dín Mubáraksháh marvar-rúdi completed in A.D. 1206. | 187 views | 1927
As we were; a Victorian peep show, | 186 views | 1930
Archivum franciscanum historicum. | 186 views | 1950
Things that have interested me, | 186 views | 1926
Dalmatia / | 186 views | 1932
Immigrant ancestors : a list of 2,500 immigrants to America before 1750. | 186 views | 1964
A history of the Canadian West to 1870-71; being a history of Rupert's land (The Hudson's Bay company's territory) and of the North west territory (including the Pacific slope) | 186 views | 1939
Soviet Russia; an investigation by British women trade unionists, April to July, 1925. | 186 views | 1925
The golden goblet / | 186 views | 1961
Mediterranean winter resorts; a complete and practical handbook to the principal health and pleasure resorts on the shores of the Mediterranean. | 186 views | 1908
Public documents of the State of Connecticut | 186 views | 1924
California probation news. | 186 views | 1947
Iconographie de l'art chrétien | 186 views | 1959
The Empire and the army, | 185 views | 1928
Scripta Arriana Latina / | 185 views | 9999
An index to the Arabic history of Gujarat : Ẓafar al-wālih bi-Muẓaffar wa-ālih by Abdalláh Muhammad bin ʻOmar al-Makkʹi, al-ʹAṣafʹi, Ulughkhʹnʹi ... : being a list of persons and places connected with the history of the Muslims in India down to the beginnning of the seventeenth century / | 185 views | 1928
The history of Turner's Liber studiorum, | 185 views | 1924
The papers of Col. Henry Bouquet ... | 185 views | 9999
A history of the British army, | 185 views | 1930
Code for modular coordination in building. | 185 views | 1959
Saints in politics; the "Clapham Sect" and the growth of freedom. | 185 views | 1952
Low temperature properties of ferrous materials / | 185 views | 1950
Aristoteles Latinus / | 185 views | 1951
Vergil's creative art, | 185 views | 1930
The eggs of British birds, illustrated by the national collection ... | 184 views | 1940
Wisconsin library bulletin. | 184 views | 1980
The Department of Indian Missions and the work of the Presbyterian Church for the Indian race in the United States / | 184 views | 1929
A detective in Sussex; landscape clues to the riddles of the past, | 184 views | 1932
The letters of Lanfranc, Archbishop of Canterbury / | 184 views | 1979
A brief introduction to musical thought / | 184 views | 1933
Three old brothers and other poems, | 184 views | 1936
The Dardanelles. | 184 views | 1924
Ecology of the saguaro / | 184 views | 1983
Bulletin of the Brooklyn entomological society. | 184 views | 1965
The Adkins family of Wayne County, West Virginia : also Cabell, Lincoln, and Boone : a genealogical history : the descendants of William and Elizabeth (Parker) Adkins of Henrico County, Virginia, from 1690 to 1990 / | 184 views | 1990
Folk-songs of the upper Thames, | 183 views | 1923
Investment banking under the Securities and exchange commission. | 183 views | 1940
Impressions and recollections, | 183 views | 1930
The Hurts of Haldworth, and their descendants at Savile Hall, the Ickles, and Hesley Hall, being a study of social and domestic life in past times; more particularly in Hallamshire and at Nottingham during the reign of Elizabeth, at Rotherham under Cromwell, and at Sheffield in the eighteenth century, | 183 views | 1930
A house in Bryanston Square. | 183 views | 1952
Emigrants from Ireland to America, 1735-1743 : a transcription of the report of the Irish House of Commons into enforced emigration to America / | 183 views | 1992
Catalogue of artistic & literary property removed from "The Pines", 11 Putney Hill (The home of A.C. Swinburne and Walter Theodore Watts-Dunton) sold by order of the trustees of the will of Walter Theodore Watts-Dunton ... : which will be sold at auction by Messrs. Sotheby & Co. | 183 views | 1939
A wayfarer in Wales, | 183 views | 1930
News notes of California libraries. | 182 views | 1924
Rugby in the duchy / | 182 views | 1934
The records of Beaudesert, Henley-in-Arden, co. Warwick, | 182 views | 1931
Bulwer : a panorama / | 182 views | 1931
Collected essays / | 182 views | 1935
Façades of buildings; fronts of old and modern business and dwelling houses; | 182 views | 1929
Africana studies : a survey of Africa and the African diaspora / | 182 views | 2005
SIO reference | 182 views | 9999
La Doctrine des Douze Apôtres = Didachè / | 182 views | 1998
Ballet | 182 views | 1936
Encyclopaedic dictionary of medieval India = Mirat-ul-Istilah / | 182 views | 1993
Books for boys and girls, being a list of two thousand books which the librarians of the Boys and Girls Division of the Toronto Public Library deem to be of definite and permanent interest, with annotations and descriptions. | 182 views | 1927
Theodore Roosevelt and the progressive movement / | 182 views | 1938
Air safety. Hearings before the Aviation Subcommittee of the Committee on Interstate and Foreign Commerce, United States Senate, Eighty-seventh Congress, first session ... | 182 views | 1961
Monopoly of force : the nexus of DDR and SSR / | 182 views | 2011
The genealogical dictionary of Rhode Island; comprising three generations of settlers who came before 1690, with many families carried to the fourth generation. | 182 views | 1969
Psychical research, science and religion. | 181 views | 1925
The register of MIll Hill school, 1807-1926, | 181 views | 1926
Watch officer's guide : a handbook for all deck watch officers. | 181 views | 1992
The criminal code / | 181 views | 1929
London's open-air statuary. | 181 views | 1928
A nossa Lisboa, novidades antigas dadas ao público por Gustavo de Matos Sequeira e Luiz Pastor de Macedo. | 181 views | 1940
Slow dangerous curve : scoliosis and posture screening handbook / | 181 views | 1979
The tragedy of Ramsay MacDonald; a political biography | 181 views | 1938
A practical hand-book of drawing for modern methods of reproduction, | 181 views | 1901
Gli uomini della guerra 1914-15-16; diplomazia, politica, spionaggio, milizia, giornalismo, ecc. | 181 views | 1917
The famous tragedy of the Queen of Cornwall at Tintagel in Lyonnesse, a new version of an old story, arranged as a play for mummers, in one act, requiring no theatre or scenery, | 181 views | 1923
Wagon wheels : the romance of the circus / | 181 views | 1935
Analecta bollandiana. | 180 views | 9999
On the scope and nature of university education. | 180 views | 1939
The novels and tales of Guy de Maupassant. | 180 views | 1926
U.S. air services. | 180 views | 1930
The threshold of the Pacific; an account of the social organization, magic and religion of the people of San Cristoval in the Solomon Islands, | 180 views | 1924
Cherokee Drennen roll of 1851 / | 180 views | 1994
Catalogue of demotic papyri in the British Museum. | 180 views | 9999
Governments of continental Europe. | 180 views | 1940
An agricultural survey in South Devon | 179 views | 1929
Canadian Patent Office record. | 179 views | 1950
Humanities. | 179 views | 1886
The Royal Montreal regiment, 14th battalion, C. E. F., 1914-1925. | 179 views | 1927
Catalogue of printed books Sotheby & co's sale of printed books, | 179 views | 1932
Zbornik za istoriju, jezik i književnost srpskog naroda. Treće odeljenje. | 179 views | 1936
The quiet adventurers in North America / | 179 views | 1983
Journal of the Institute of Metals | 179 views | 1953
Annual report | 179 views | 1951
Maria Edgeworth: chosen letters, | 179 views | 1931
The fishermen's saint / | 179 views | 1930
Empire trade and the Ottawa agreements ... | 179 views | 1936
Lettres de Louis XVI et de Marie-Antoinette, 1789-1793 / | 179 views | 1988
In witch-bound Africa, an account of the primitive Kaonde tribe & their beliefs, | 179 views | 1923
The sword of wood, a story | 179 views | 1928
Francesco di Giorgio Martini of Siena, painter, sculptor, engineer, civil and military architect (1439-1502), | 179 views | 1935
Good housekeeping invalid cookery book / | 178 views | 1938
Foundations of Canadian nationhood. | 178 views | 1955
Three lectures on "Dental alloys". | 178 views | 1927
List of common names of British plant diseases, | 178 views | 1935
L'Illustrazione popolare. | 178 views | 1999
Bulletin [Lettered Series] | 178 views | 1927
English education, 1789-1902. | 178 views | 1930
Concerning the eccentricities of Cardinal Pirelli, | 178 views | 1926
Proceedings of the First International Pharmacological Meeting: Mode of action of drugs. | 178 views | 1963
The Canadian automotive industry / by Sun Life Assurance Company of Canada. | 178 views | 1956
Deutsches Geschlechterbuch (Genealogishes Handbuch Burgerlicher Familien) | 178 views | no valid date
Economic principles, an introductory study, | 178 views | 1923
Ciba Foundation colloquia on endocrinology. | 177 views | 9999
Christmas carols, | 177 views | 1906
My sweet-orange tree / | 177 views | 1983
Journal of the Institute of Metals | 177 views | 1954
Frontier thinking in guidance, | 177 views | 1945
The ruler of Baroda : an account of the life and work of the Maharaja Gaekwar / | 177 views | 1928
Kurd dar daʼirat al-maʻarif-i Islam. | 177 views | 1367
Sancti Aurelli Augustini : de civitate Dei. | 177 views | 1955
Ironwork ... | 177 views | 1930
Automatic data processing conference, Sept. 8 and 9, 1955; proceedings. | 176 views | 1956
World friendship; | 176 views | 1928
The Weber collection; Greek coins ... by L. Forrer. | 176 views | 1922
Monthly index numbers of employment, payrolls and average earnings with average weekly earnings, 1947-1950. | 176 views | 1951
An official in British New Guinea, with earlier reminiscences of Harrow and the Royal artillery, | 176 views | 1925
Intelligence digest supplement. | 176 views | 1954
Cavaliers and pioneers; abstracts of Virginia land patents and grants, 1623-1800. | 176 views | 1999
Printed books and manuscripts of value and interest for their texts, illustrations or historical importance, on more than fifty subjects, literary, artistic, historical or scientific ... | 176 views | 1932
Muscles of the pectoral limb in galliform birds / | 176 views | 1969
The diplomatic relations of Great Britain and the United States, | 176 views | 1925
Proceedings of the fifth Pacific Science Congress, Canada / | 176 views | 1934
